,Unnamed: 0,accession,thermal_range,inference_type,reasoning,confidence,source,duration(m)
0,0,ADI87650,mesophile,none,The paper explicitly states that phage JC53 (the organism in question) 'effectively lysed EV76 at 28 °C 21 °C and 37 °C' (Section 3.1). Additionally Section 3.2.1 notes that activity remained stable below 60 °C and was lost at 70 °C. Section 2.6 confirms host range assays were conducted at 21 °C 28 °C and 37 °C with lysis observed at all three temperatures. These temperatures fall within the mesophile range (15–45 °C). No data support psychrophile (<15 °C) or thermophile (>45 °C) classification.,low,literature,1.120582247575124
1,1,WXH46553,mesophile,none,The paper explicitly states that experiments were conducted at specific temperatures including 30 °C 24 °C and 37 °C. Specifically the text mentions: 'We chose nanoliter unit as it better reflects the small total volume of encapsulated CFE reaction into the SCs. The first synthesized infectious phages were observed after one hour. This experiment was also done at 24 °C and 37 °C (Supplementary Fig. 31).' Additionally Figure 4B caption states: 'Phage production kinetics at 30 °C in bulk and synthetic cells.' Since the organism (T7 phage) functions and replicates within the synthetic cell system at 30 °C (and also at 24 °C and 37 °C) and these temperatures fall within the 15–45 °C range defined for mesophiles the thermal classification is mesophile.,high,literature,1.7841884501775107
2,2,WRQ14408,mesophile,none,The paper explicitly states that the cI857 mutation confers thermolability to the repressor protein where 'At 30 °C the repressor remains stable and functional; however when the temperature is elevated to 37 °C its stability decreases and induces lytic activity.' Additionally the Materials and Methods section notes that liquid cultures were grown at '30 or 37 °C' and plates were incubated at '37 °C'. Since the organism (phage lambda) is functional and actively studied within this 30–37 °C range it falls within the mesophile definition (15–45°C).,low,literature,1.2819423977533977
3,3,XYW65533,mesophile,none,The paper explicitly states in Section 4.1 (Materials and Methods) that the experimental populations of Escherichia coli B were 'incubated at 37 °C at 150 rpm for 24 h'. This temperature is maintained throughout the 35-day evolution experiment for all groups. Since 37 °C falls within the defined range of 15–45°C for a mesophile the organism is classified as such based on the explicit growth conditions provided in the text.,low,literature,1.1274344031016033
4,4,SNQ28030,mesophile,none,forced from metadata,low,forced,0.29251933415730796
5,5,A7XXB7,thermophile,inferred,The metadata identifies the host organism as 'Thermus thermophilus'. The genus name 'Thermus' and species epithet 'thermophilus' (meaning heat-loving) are taxonomic descriptors that explicitly imply a thermophilic nature. Additionally the phage name 'P23-45' contains the descriptor 'Thermus' linking it to the same thermal environment. Based on the THERMAL MAPPING RULES organisms associated with hot springs or geothermal environments (implied by the host name) are classified as thermophiles. Since the host name itself serves as the environmental context indicator the inference is based on the strong implication of the organism's nomenclature regarding its habitat temperature.,high,metadata,0.15
6,6,QAY18187,thermophile,inferred,The metadata explicitly lists the host organism as 'Thermus sp. TC4'. The genus 'Thermus' is strongly associated with thermophilic environments (hot springs geothermal areas). Additionally the title refers to 'Thermus phage TSP4' reinforcing the association with the genus Thermus. Based on the THERMAL MAPPING RULES provided environments associated with the genus Thermus (implied by the host name) map to 'thermophile'. No explicit temperature values were found so the classification is inferred from the environmental context implied by the host taxonomy.,high,metadata,0.15
7,7,YP_001285867,thermophile,inferred,The metadata explicitly lists the 'isolation_source' as 'deep-sea hydrothermal field'. According to the provided THERMAL MAPPING RULES environments such as 'hydrothermal vents' strongly imply a 'thermophile' classification. Therefore the thermal range is inferred from this specific environmental context without using external biological knowledge about the host 'Geobacillus'.,high,metadata,0.12
8,8,NP_835731,thermophile,none,The paper explicitly describes the bacteriophage RM378 as a 'thermophilic bacteriophage' and notes that its polynucleotide kinase possesses activity 'at elevated temperatures'. The host organism Rhodothermus marinus is also described as 'thermophilic'. Since the phage is explicitly labeled as thermophilic and functions at elevated temperatures it fits the definition of a thermophile (> 45°C).,low,literature,0.2673003315925598
9,9,YP_874174,thermophile,inferred,The metadata explicitly identifies the organism as 'Thermus phage phiYS40' and the old name as 'Thermus thermophilus phage YS40'. The genus name 'Thermus' and the specific epithet 'thermophilus' (meaning heat-loving) are strong environmental descriptors within the metadata string itself. According to the inference rules the environment strongly implied by the organism's taxonomic name provided in the metadata allows for an inference of thermal range. The genus Thermus is universally associated with hot springs and geothermal environments in the provided mapping rules. Therefore the thermal range is inferred as 'thermophile' based on the explicit text 'Thermus thermophilus' found in the 'organism' and 'old_name' fields.,high,metadata,0.2
10,10,XJP07760,psychrophile,none,forced from metadata,low,forced,0.29251933415730796
11,11,WMT83805,psychrophile,inferred,The metadata explicitly lists the 'isolation_source' as 'arctic sediment'. According to the provided mapping rules environments described as 'Arctic' 'polar' 'ice' or 'permafrost' strongly imply a psychrophilic thermal range. Therefore the thermal range is inferred as 'psychrophile' based solely on the environmental context of the isolation source.,high,metadata,0.13
12,12,YP_009790355,mesophile,none,forced from metadata,high,forced,0.29251933415730796
13,13,YP_006489335,psychrophile,inferred,The metadata identifies the lab host as 'Colwellia psychrerythaea strain 34H'. The genus name 'Colwellia' and the species epithet 'psychrerythaea' (derived from Greek 'psychros' meaning cold) are taxonomic indicators of cold-adapted organisms. Furthermore the strain name '34H' is a well-known reference strain isolated from deep-sea sediments (specifically the Red Sea) which is a polar-like environment. Based on the THERMAL MAPPING RULES environments like deep sea imply 'psychrophile'. Since no explicit temperature data is present the classification is inferred from the host's taxonomic name and implied deep-sea origin.,high,metadata,0.19
14,14,YP_009209738,psychrophile,none,forced from metadata,low,forced,0.29251933415730796
